Boxer 1,Boxer 2,Video Name,Weight Class
Chang Yuan,PANG Cholmi,2024-08-04_PANG-Cholmi_CHANG-Yuan,50KG
Chang Yuan,Hatice Akbas,2024-08-09_AKBAS-Hatice_CHANG-Yuan,50KG
Wu Yu,KYZAIBAY Nazym,2024-08-07_KYZAIBAY-Nazym_WU-Yu,54KG
Wu Yu,Buse Naz Cakiroglu,2024-08-10_CAKIROGLU-Buse-Naz_WU-Yu,54KG
Yang Wen Lu,WU Shihyi,2024-08-03_WU-Shih-Yi_YANG-Wenlu,60KG
Yang Wen Lu,Kellie Harrington,2024-08-07_HARRINGTON-Kellie_YANG-Wenlu,60KG
Yang Liu,NIEN CHIN CHEN,2024-08-07_YANG-Liu_CHEN-Nien-Chin,66KG
Yang Liu,KHELIF IMANE,2024-08-10_YANG-Liu_KHELIF-Imane,66KG
Li Qian,PARKER Caitlin,2024-08-09_CAITLIN-PARKER_LI-Qian,75KG
Li Qian,BYLON Atheyna Bibeichi,2024-08-11_BYLON-Atheyna-Bibeichi_LI-Qian,75KG
